"pmcid";"pmid";"doi";"file_path_PMC";"pdf_file_path_PMC";"year";"type";"ISSN";"eISSN";"FoR_col";"FoR";"FoR_category";"approp";"bar";"bardot";"box";"dot";"flowno";"flowyes";"hist";"other";"pie";"text";"violin";"pdf_downloaded"
"PMC5513044";"28709470";"10.1186/s13063-017-2077-2";"oa_package/e6/f1/PMC5513044.tar.gz";NA;"2017";"research-article";NA;"1745-6215";"FoR_1";"1102";"1102 - Cardiorespiratory Medicine and Haematology";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"13";"0";TRUE
"PMC4148777";"25221572";"10.3389/fgene.2014.00299";"oa_package/1e/24/PMC4148777.tar.gz";NA;"2014";"research-article";NA;"1664-8021";"FoR_1";"0604";"0604 - Genetics";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"5";"0";TRUE
"PMC6520726";"31027293";"10.3390/v11040389";"oa_package/8f/ea/PMC6520726.tar.gz";NA;"2019";"research-article";NA;"1999-4915";"FoR_1";"0605";"0605 - Microbiology";"0";"7";"0";"0";"0";"1";"0";"1";"2";"0";"8";"0";TRUE
"PMC6286987";"30559680";"10.3389/fphys.2018.01732";"oa_package/e1/14/PMC6286987.tar.gz";NA;"2018";"research-article";NA;"1664-042X";"FoR_1";"0606";"0606 - Physiology";"1";"0";"0";"0";"0";"7";"1";"0";"0";"0";"7";"0";TRUE
"PMC6924324";"31871843";"10.7717/peerj.8242";"oa_package/ae/bf/PMC6924324.tar.gz";NA;"2019";"research-article";NA;"2167-8359";"FoR_1";"0600";"0600 - Biological Sciences";"0";"0";"0";"0";"0";"1";"0";"0";"7";"0";"14";"0";TRUE
"PMC5519615";"28785264";"10.3389/fimmu.2017.00842";"oa_package/17/02/PMC5519615.tar.gz";NA;"2017";"research-article";NA;"1664-3224";"FoR_2";"1108";"1108 - Medical Microbiology";"0";"3";"0";"0";"0";"1";"0";"0";"0";"0";"5";"0";TRUE
"PMC6943766";"31811943";"10.1016/j.gpb.2018.03.008";"oa_package/f6/71/PMC6943766.tar.gz";NA;"2019";"research-article";"1672-0229";"2210-3244";"FoR_1";"0600";"0600 - Biological Sciences";"0";"0";"0";"1";"0";"1";"0";"0";"2";"0";"4";"0";TRUE
"PMC7431501";"32804262";"10.1186/s13550-020-00679-1";"oa_package/cb/68/PMC7431501.tar.gz";NA;"2020";"research-article";NA;"2191-219X";"FoR_1";"1101";"1101 - Medical Biochemistry and Metabolomics";"1";"0";"0";"0";"0";"1";"0";"0";"5";"0";"9";"0";TRUE
"PMC6898820";"31663408";"10.1161/JAHA.119.012041";"oa_package/c6/10/PMC6898820.tar.gz";"oa_pdf/c6/10/JAH3-8-e012041.PMC6898820.pdf";"2019";"research-article";NA;"2047-9980";"FoR_1";"1102";"1102 - Cardiorespiratory Medicine and Haematology";"3";"0";"0";"0";"0";"1";"0";"0";"1";"0";"7";"0";TRUE
"PMC3185429";"21724616";"10.1093/nar/gkr532";"oa_package/2f/d8/PMC3185429.tar.gz";"oa_pdf/2f/d8/gkr532.PMC3185429.pdf";"2011";"research-article";"0305-1048";"1362-4962";"FoR_1";"0600";"0600 - Biological Sciences";"0";"0";"0";"0";"0";"1";"0";"0";"4";"0";"5";"0";TRUE
